,Variables,Euclidean distance
320,BMI_0,0.0
300,O_SYMP6_0,0.59123295545578
364,V_TRT_1,0.5990400910377502
298,O_SYMP5_0,0.6036544442176819
288,O_SYMP1_0,0.6116209030151367
278,O_SLNT_1,0.626122236251831
294,O_SYMP3_0,0.6264529228210449
244,M_SUI_ATT_1,0.640710175037384
257,O_BR_SLP_1,0.6473199725151062
355,I_SCH_ED1_9999,0.648705005645752
477,TC_ACCESS_1,0.6536383032798767
296,O_SYMP4_0,0.654179573059082
269,O_OCP4_9999,0.6544637680053711
407,AC_ACCESS_1,0.66024249792099
290,O_SYMP1_1_9999,0.6617546081542969
267,O_OCP3_9999,0.668018639087677
431,TC_HTP_LT_1,0.674839198589325
421,TC_EC_LT_1,0.685635507106781
352,I_SCH_TRT_1,0.6858089566230774
265,O_OCP2_9999,0.6877820491790771
292,O_SYMP2_0,0.6898680329322815
273,O_DC_FQ_2,0.6903809905052185
242,M_SUI_PLN_1,0.6914582848548889
433,TC_HTP_MN_9999,0.6923533082008362
238,M_SAD_1,0.6947692036628723
264,O_OCP1_9999,0.6967546939849854
457,TC_DAGE_9999,0.6967609524726868
282,PR_OH_3,0.6968514919281006
396,AC_AMNT_9999,0.7001378536224365
240,M_SUI_CON_1,0.7003024816513062
471,TC_AMNT_9999,0.7109509706497192
423,TC_EC_MN_9999,0.7147759795188904
280,O_SCL_1,0.7201526165008545
284,PR_OH_2,0.7223749160766602
402,AC_DRUNK_9999,0.7342735528945923
483,TC_QT_YR_9999,0.7481545805931091
414,TC_DAYS_9999,0.7525587677955627
484,TC_SND_H_1,0.7534980773925781
279,O_SLNT_2,0.7654491066932678
492,TC_SND_S_1,0.780390739440918
274,O_DC_FQ_3,0.780792236328125
348,I_SB_EX_2,0.7837876081466675
412,TC_LT_1,0.7956699728965759
521,S_SI_1,0.7963950037956238
527,S_CONT_M_9999,0.8006914258003235
353,I_SCH_TRT_2,0.8054344654083252
524,S_CONT_9999,0.8201689720153809
338,I_SB_FR_2,0.8302139639854431
262,O_BR_S_1,0.83661288022995
281,O_SCL_2,0.8577755689620972
275,O_DC_FQ_1,0.8581424355506897
261,O_BR_S_2,0.8602215051651001
536,DR_EXP_1,0.8657864928245544
534,S_EDU_2,0.8663714528083801
237,M_SLP_EN_2,0.8694549798965454
236,M_SLP_EN_3,0.871734619140625
276,O_DC_FQ_5,0.8733094334602356
