,Variables,Euclidean distance
56,BMI_1,0.0
54,O_DC_FQ_1,0.8754191994667053
45,M_SAD_2,0.9440923929214478
52,O_BR_SLP_2,1.0563262701034546
69,AC_DAYS_1,1.0661555528640747
82,TC_SND_H_8,1.0955314636230469
58,I_SB_EX_5,1.1193658113479614
46,M_SUI_CON_2,1.1288069486618042
44,M_SLP_EN_5,1.1297858953475952
60,AC_FAGE_8,1.1430705785751343
61,AC_FAGE_7,1.1612404584884644
55,O_SYMP6_1,1.1661498546600342
67,AC_FAGE_5,1.2140257358551025
66,AC_FAGE_4,1.2528080940246582
43,M_STR_1,1.2634841203689575
57,I_SB_BK_5,1.283477783203125
47,M_SUI_PLN_2,1.3021538257598877
49,O_BR_FQ_7,1.3145947456359863
51,O_BR_FQ_6,1.3230992555618286
59,AC_LT_2,1.323253870010376
83,TC_SND_H_7,1.363023042678833
63,AC_FAGE_3,1.3732857704162598
18,PA_SWK_N_9,1.3806697130203247
86,TC_SND_P_6,1.3847147226333618
7,F_CAFFEINE_6,1.4178146123886108
23,WC_MN_2,1.4372789859771729
53,O_BR_SLP_3,1.4601209163665771
16,PA_SWK_N_8,1.4720948934555054
14,PA_SWK_N_10,1.4811692237854004
48,M_SUI_ATT_2,1.4819782972335815
85,TC_SND_S_6,1.4857815504074097
64,AC_FAGE_12,1.4876737594604492
65,AC_FAGE_13,1.4929027557373047
22,WC_MN_4,1.5047528743743896
28,WC_MN_M03_1,1.5059785842895508
62,AC_FAGE_2,1.5110020637512207
70,AC_DAYS_3,1.517227053642273
24,WC_MN_M01_0,1.5179805755615234
50,O_BR_FQ_1,1.5260322093963623
71,AC_DAYS_2,1.5269845724105835
25,WC_MN_M01_1,1.5290318727493286
15,PA_SWK_N_6,1.5381839275360107
91,AS_DG_LT_2,1.5386178493499756
72,AC_AMNT_1,1.5455971956253052
27,WC_MN_M02_1,1.5464088916778564
84,TC_SND_S_8,1.552594780921936
6,F_CAFFEINE_5,1.563981056213379
73,AC_AMNT_2,1.5731698274612427
68,AC_DAYS_4,1.5769946575164795
13,PA_SWK_S_10,1.581451177597046
20,PA_PE_FQ_2,1.5821419954299927
17,PA_SWK_N_12,1.5988866090774536
