,Variables,Euclidean distance,Variables,Euclidean distance
0,BMI_1,0.0,BMI_0,0.0
1,WC_MN_2,1.4183309078216553,O_SYMP6_0,0.59123295545578
2,WC_MN_M03_1,1.4825183153152466,V_TRT_1,0.5990400910377502
3,WC_MN_M02_1,1.5153082609176636,O_SYMP5_0,0.6036544442176819
4,PR_BI_5,1.7929521799087524,O_SYMP1_0,0.6116209030151367
5,WC_MN_M08_1,1.94980788230896,O_SLNT_1,0.626122236251831
6,WC_MN_M05_1,1.976914882659912,O_SYMP3_0,0.6264529228210449
7,INT_WK_MM_10,2.0187666416168213,M_SUI_ATT_1,0.640710175037384
8,PR_BI_4,2.058300018310547,O_BR_SLP_1,0.6473199725151062
9,WC_MN_M04_1,2.0619637966156006,I_SCH_ED1_9999,0.648705005645752
10,WC_MN_M10_1,2.1422994136810303,TC_ACCESS_1,0.6536383032798767
11,SleepAvg_WK_2,2.1548409461975098,O_SYMP4_0,0.654179573059082
12,WC_MN_M07_1,2.186516523361206,O_OCP4_9999,0.6544637680053711
13,WC_MN_M06_1,2.240020751953125,AC_ACCESS_1,0.66024249792099
14,E_KRN_F_2,2.654515266418457,O_SYMP1_1_9999,0.6617546081542969
15,E_BORN_M_1,2.6872034072875977,O_OCP3_9999,0.668018639087677
16,WC_MN_M09_0,2.6888442039489746,TC_HTP_LT_1,0.674839198589325
17,E_BORN_F_1,3.0073461532592773,TC_EC_LT_1,0.685635507106781
18,SleepAvg_WK_0,3.033895492553711,I_SCH_TRT_1,0.6858089566230774
19,WC_MN_M10_0,3.1970176696777344,O_OCP2_9999,0.6877820491790771
20,E_BORN_F_9999,5.122637748718262,O_SYMP2_0,0.6898680329322815
21,,,O_DC_FQ_2,0.6903809905052185
22,,,M_SUI_PLN_1,0.6914582848548889
23,,,TC_HTP_MN_9999,0.6923533082008362
24,,,M_SAD_1,0.6947692036628723
25,,,O_OCP1_9999,0.6967546939849854
26,,,TC_DAGE_9999,0.6967609524726868
27,,,PR_OH_3,0.6968514919281006
28,,,AC_AMNT_9999,0.7001378536224365
29,,,M_SUI_CON_1,0.7003024816513062
30,,,TC_AMNT_9999,0.7109509706497192
31,,,TC_EC_MN_9999,0.7147759795188904
32,,,O_SCL_1,0.7201526165008545
33,,,PR_OH_2,0.7223749160766602
34,,,AC_DRUNK_9999,0.7342735528945923
35,,,TC_QT_YR_9999,0.7481545805931091
36,,,TC_DAYS_9999,0.7525587677955627
37,,,TC_SND_H_1,0.7534980773925781
38,,,O_SLNT_2,0.7654491066932678
39,,,TC_SND_S_1,0.780390739440918
40,,,O_DC_FQ_3,0.780792236328125
41,,,I_SB_EX_2,0.7837876081466675
42,,,TC_LT_1,0.7956699728965759
43,,,S_SI_1,0.7963950037956238
44,,,S_CONT_M_9999,0.8006914258003235
45,,,I_SCH_TRT_2,0.8054344654083252
46,,,S_CONT_9999,0.8201689720153809
47,,,I_SB_FR_2,0.8302139639854431
48,,,O_BR_S_1,0.83661288022995
49,,,O_SCL_2,0.8577755689620972
50,,,O_DC_FQ_1,0.8581424355506897
51,,,O_BR_S_2,0.8602215051651001
52,,,DR_EXP_1,0.8657864928245544
53,,,S_EDU_2,0.8663714528083801
54,,,M_SLP_EN_2,0.8694549798965454
55,,,M_SLP_EN_3,0.871734619140625
56,,,O_DC_FQ_5,0.8733094334602356
57,,,O_BR_S_4,0.8749041557312012
58,,,O_OCP4_4,0.8808934688568115
59,,,O_OCP2_2,0.8881192803382874
