,Variables,ED
0,E_EDU_M,8.770678520202637
1,E_KRN_F,6.601269721984863
2,E_KRN_M,5.9613447189331055
3,E_EDU_F,5.533188819885254
4,WC_MN_M10,4.360733509063721
5,E_LT_F,4.088858604431152
6,WC_MN_M09,3.742953300476074
7,E_FM_NO_9,3.7250778675079346
8,E_FM_YBS_8,3.671839475631714
9,E_FM_OBS_7,3.5019052028656006
10,WC_MN_M08,3.399394989013672
11,E_FM_SM_4,3.162081480026245
12,WC_MN_M07,3.1509130001068115
13,E_FM_GF_5,3.141244411468506
14,E_FM_SF_2,3.1393158435821533
15,A_FM,3.106076240539551
16,E_FM_M_3,3.043290853500366
17,WC_MN_M06,2.9483444690704346
18,E_LT_M,2.894897222518921
19,E_FM_F_1,2.837799072265625
20,E_LT_SF,2.837082862854004
21,WC_MN_M05,2.800449848175049
22,WC_MN_M04,2.6942923069000244
23,WC_MN_M02,2.535543203353882
24,WC_MN_M01,2.4643003940582275
25,E_BORN_M,2.3995885848999023
26,E_LT_SM,2.2818758487701416
27,TC_LT,1.9144572019577026
28,TC_DAGE,1.9022003412246704
29,E_BORN_F,1.8689484596252441
30,AC_DRUNK,1.8441789150238037
31,AC_LT,1.7881120443344116
32,AS_DG_YR,1.7871333360671997
33,AS_DG_LT,1.5727406740188599
34,RH_DG_LT,1.518288493156433
35,M_SUI_ATT,1.5018686056137085
36,E_SES,1.3157926797866821
37,E_FM_GM_6,1.2993707656860352
38,M_SUI_PLN,1.2842066287994385
39,AGE,1.2306532859802246
40,M_SUI_CON,1.1496555805206299
41,TC_GHW_H,1.140659213066101
42,TC_GHW_QT,0.9632841348648071
43,TC_DAYS,0.9611082077026367
44,WC_MN_M03,0.9456832408905029
45,O_SYMP6,0.9379295110702515
46,M_SAD,0.9085074067115784
47,O_BR_SLP,0.9084784984588623
48,O_BR_FQ,0.8896269798278809
49,TC_AMNT,0.8808944225311279
50,M_STR,0.8640109300613403
51,SleepAvg_WK,0.8607982397079468
52,TC_SND_H,0.8323873281478882
53,INT_WD_MM,0.8048247694969177
54,M_SLP_EN,0.7554163336753845
55,INT_WK_MM,0.7512499094009399
56,I_SB_EX,0.7211766242980957
57,PR_HT,0.718294084072113
58,F_CAFFEINE,0.7166623473167419
59,I_SB_BK,0.7087317705154419
60,F_FRUIT,0.6966341733932495
61,F_SODA,0.6917246580123901
62,TC_SND_S,0.6725272536277771
63,AC_AMNT,0.6698643565177917
64,AC_DAYS,0.6566125750541687
65,O_DC_FQ,0.6546884775161743
66,WC_MN,0.6270529627799988
67,E_S_RCRD,0.6092524528503418
68,TC_SND_P,0.578447163105011
69,F_BR,0.5651368498802185
70,F_MILK,0.5481571555137634
71,AC_FAGE,0.5290160179138184
72,PA_SWD_N,0.5237963795661926
73,PA_ST,0.49858954548835754
74,PA_SWD_S,0.475453644990921
75,PA_PE_FQ,0.4698982536792755
76,PA_SWK_S,0.464301198720932
77,PA_TOT,0.46305423974990845
78,PA_SWK_N,0.35085612535476685
