,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
0,9.0,17.0,8.0,8.0
1,9.0,15.0,6.0,6.0
2,23.0,14.0,-9.0,9.0
3,9.0,16.0,7.0,7.0
4,12.0,8.0,-4.0,4.0
5,6.0,12.0,6.0,6.0
6,2.0,6.0,4.0,4.0
7,3.0,11.0,8.0,8.0
8,1.0,9.0,8.0,8.0
9,6.0,4.0,-2.0,2.0
10,1.0,11.0,10.0,10.0
11,23.0,7.0,-16.0,16.0
12,24.0,6.0,-18.0,18.0
13,1.0,12.0,11.0,11.0
14,1.0,11.0,10.0,10.0
15,2.0,11.0,9.0,9.0
16,13.0,9.0,-4.0,4.0
17,11.0,9.0,-2.0,2.0
18,1.0,11.0,10.0,10.0
19,1.0,14.0,13.0,13.0
20,6.0,18.0,12.0,12.0
21,22.0,8.0,-14.0,14.0
22,3.0,16.0,13.0,13.0
23,1.0,9.0,8.0,8.0
24,24.0,9.0,-15.0,15.0
25,4.0,14.0,10.0,10.0
26,4.0,14.0,10.0,10.0
27,24.0,7.0,-17.0,17.0
28,24.0,9.0,-15.0,15.0
29,24.0,10.0,-14.0,14.0
30,4.0,12.0,8.0,8.0
31,3.0,15.0,12.0,12.0
32,23.0,9.0,-14.0,14.0
33,1.0,10.0,9.0,9.0
34,5.0,13.0,8.0,8.0
35,5.0,10.0,5.0,5.0
36,3.0,8.0,5.0,5.0
37,24.0,10.0,-14.0,14.0
38,3.0,13.0,10.0,10.0
39,1.0,5.0,4.0,4.0
40,22.0,8.0,-14.0,14.0
41,24.0,8.0,-16.0,16.0
42,3.0,11.0,8.0,8.0
43,13.0,7.0,-6.0,6.0
44,24.0,9.0,-15.0,15.0
45,12.0,24.0,12.0,12.0
46,4.0,11.0,7.0,7.0
47,24.0,8.0,-16.0,16.0
48,24.0,10.0,-14.0,14.0
49,5.0,15.0,10.0,10.0
50,2.0,9.0,7.0,7.0
51,1.0,9.0,8.0,8.0
52,2.0,11.0,9.0,9.0
53,24.0,10.0,-14.0,14.0
54,1.0,12.0,11.0,11.0
55,2.0,8.0,6.0,6.0
56,4.0,11.0,7.0,7.0
57,2.0,14.0,12.0,12.0
58,7.0,18.0,11.0,11.0
59,2.0,10.0,8.0,8.0
66,1.0,9.0,8.0,8.0
67,2.0,13.0,11.0,11.0
68,2.0,10.0,8.0,8.0
70,2.0,8.0,6.0,6.0
72,1.0,9.0,8.0,8.0
74,4.0,13.0,9.0,9.0
75,13.0,8.0,-5.0,5.0
76,22.0,7.0,-15.0,15.0
77,3.0,14.0,11.0,11.0
