,len,freq,err,condition,pred,Acc,new_standard
1407,1,0.995,0.206,"PR_HT %in% c('1','2','3','4')",0,0.794,0.79003
6096,1,0.995,0.206,"SleepAvg_WK %in% c('0','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20')",0,0.794,0.79003
3030,1,0.992,0.206,"SleepAvg_WK %in% c('0','1','2','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20')",0,0.794,0.787648
4149,1,0.987,0.206,"O_BR_FQ %in% c('2','3','4','5','6','7','8','9','10')",0,0.794,0.783678
4165,1,0.981,0.208,"F_WAT %in% c('2','3','4','5')",0,0.792,0.776952
4250,1,0.973,0.205,"TC_QT_YR %in% c('2','9999')",0,0.795,0.773535
4642,1,0.972,0.206,"PA_WLK %in% c('1','3','4','5','6','7','8')",0,0.794,0.771768
863,1,0.966,0.205,"E_EDU_F %in% c('2','3','4','8888')",0,0.795,0.76797
4348,1,0.964,0.207,"F_VEG %in% c('2','3','4','5','6','7')",0,0.793,0.764452
424,1,0.952,0.2,"PR_HT %in% c('1','2','3','5')",0,0.8,0.7616
2686,1,0.958,0.206,"PA_WLK %in% c('1','2','4','5','6','7','8')",0,0.794,0.760652
624,1,0.947,0.199,"PR_HT %in% c('1','2','3')",0,0.801,0.758547
3577,1,0.938,0.207,"I_SB_FR %in% c('2','3','4','5')",0,0.793,0.743834
359,1,0.936,0.206,"F_BR %in% c('1','3','4','5','6','7','8')",0,0.794,0.743184
1847,1,0.928,0.202,F_CS_F06 %in% c('9999'),0,0.798,0.740544
304,1,0.931,0.205,"F_CAFFEINE %in% c('1','2','4','5','6','7')",0,0.795,0.740145
4042,1,0.933,0.208,"TC_SND_H %in% c('1','3','4','5','6','7','8')",0,0.792,0.738936
1331,1,0.93,0.206,"PA_WLK %in% c('1','4','5','6','7','8')",0,0.794,0.73842
5174,1,0.929,0.206,"HW_S_R %in% c('1','2','3','4','5','8','9','10')",0,0.794,0.737626
4140,1,0.929,0.207,"PA_WLK %in% c('3','4','5','6','7','8')",0,0.793,0.736697
133,1,0.92,0.203,"O_BR_FQ %in% c('1','3','4','5','6','7','8','9','10')",0,0.797,0.73324
1475,1,0.921,0.205,"F_BR %in% c('1','2','4','5','6','7','8')",0,0.795,0.732195
1380,1,0.913,0.205,"PR_OH %in% c('2','3','4','5')",0,0.795,0.725835
3922,1,0.914,0.206,"PA_WLK %in% c('2','4','5','6','7','8')",0,0.794,0.725716
370,1,0.912,0.206,"PA_TRA %in% c('1','4','5','6','7','8')",0,0.794,0.724128
792,1,0.907,0.202,"O_BR_FQ %in% c('3','4','5','6','7','8','9','10')",0,0.798,0.723786
340,1,0.911,0.206,"M_SLP_EN %in% c('2','3','4','5')",0,0.794,0.723334
92,1,0.907,0.205,"I_SB_EX %in% c('2','3','4','5')",0,0.795,0.721065
2485,1,0.904,0.204,AC_ACCESS %in% c('1'),0,0.796,0.719584
3151,1,0.899,0.204,TC_EC_MN %in% c('0'),0,0.796,0.715604
1333,1,0.903,0.21,"INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10')",0,0.79,0.71337
2524,1,0.897,0.208,"PA_SWD_N %in% c('1','2','3','4','5','6','7')",0,0.792,0.710424
4200,1,0.894,0.207,"HW_S_R %in% c('1','2','3','4','5','6','8','10')",0,0.793,0.708942
569,1,0.885,0.203,"F_FRUIT %in% c('2','3','4','5','6','7')",0,0.797,0.705345
3255,1,0.887,0.206,"PA_WLK %in% c('4','5','6','7','8')",0,0.794,0.704278
1179,1,0.884,0.206,"HW_S_R %in% c('2','3','4','5','6','7','8','10')",0,0.794,0.701896
96,1,0.879,0.202,"F_CAFFEINE %in% c('1','2')",0,0.798,0.701442
3065,1,0.882,0.207,"PA_TRA_MM %in% c('0','1')",0,0.793,0.699426
1483,1,0.878,0.205,"E_EDU_M %in% c('1','2','3','8888','9999')",0,0.795,0.69801
6036,1,0.879,0.207,"HW_S_R %in% c('1','2','3','4','5','6','8','9')",0,0.793,0.697047
1538,1,0.874,0.203,"PA_TOT %in% c('1','3','4','5','6','7','8')",0,0.797,0.696578
500,1,0.875,0.204,"F_MILK %in% c('2','3','4','5','6','7')",0,0.796,0.6965
3076,1,0.868,0.202,"TC_SND_S %in% c('1','2')",0,0.798,0.692664
4101,1,0.87,0.205,"HW_S_R %in% c('1','2','3','5','6','9','10')",0,0.795,0.69165
80,1,0.862,0.199,"E_EDU_F %in% c('1','3','4','8888','9999')",0,0.801,0.690462
3845,1,0.872,0.21,"PA_SWD_S %in% c('0','2','4','5','6','7','8','9','10','11','12','13','14')",0,0.79,0.68888
58,1,0.869,0.209,"PA_SWK_S %in% c('0','1','3','4','5','6','7','8','9','10','11')",0,0.791,0.687379
712,1,0.864,0.207,"PA_MSC %in% c('1','2','4','5','6')",0,0.793,0.685152
587,1,0.858,0.203,"TC_GHW_QT %in% c('3','4','9999')",0,0.797,0.683826
1022,1,0.862,0.207,"HW_S_R %in% c('1','2','3','5','6','8','9')",0,0.793,0.683566
552,1,0.852,0.198,"E_EDU_F %in% c('3','4','8888','9999')",0,0.802,0.683304
788,1,0.863,0.209,"PA_SWK_N %in% c('0','1','3','4','5','6','7','8','9','10','11','12')",0,0.791,0.682633
1425,1,0.855,0.202,F_CS_F10 %in% c('9999'),0,0.798,0.68229
1350,1,0.858,0.205,"F_BR %in% c('1','4','5','6','7','8')",0,0.795,0.68211
1653,1,0.855,0.203,"TC_GHW_QT %in% c('2','4','9999')",0,0.797,0.681435
4695,1,0.855,0.205,"HW_SPRM_H %in% c('1','2')",0,0.795,0.679725
3119,1,0.85,0.201,"E_EDU_M %in% c('1','3','4','8888','9999')",0,0.799,0.67915
26,1,0.857,0.208,"PA_SWK_S %in% c('0','2','3','4','5','6','7','8','9','10','11')",0,0.792,0.678744
2907,1,0.854,0.207,"INT_WK_MM %in% c('0','1','3','4','5','6','7','8','9','10')",0,0.793,0.677222
5928,1,0.853,0.207,"HW_S_R %in% c('1','2','3','5','8','9')",0,0.793,0.676429
1147,1,0.85,0.205,"RH_DG_YR %in% c('2','9999')",0,0.795,0.67575
264,1,0.864,0.219,"F_WAT %in% c('1','3','4','5')",0,0.781,0.674784
1344,1,0.849,0.206,"INT_WK_MM %in% c('0','1','2','4','5','6','7','8','9','10')",0,0.794,0.674106
1206,1,0.844,0.203,"TC_SND_S %in% c('1','3')",0,0.797,0.672668
1462,1,0.848,0.207,"PA_SWD_S %in% c('1','3','4','5','6','7','8','9','10','11','12','13','14')",0,0.793,0.672464
4222,1,0.838,0.198,"E_EDU_F %in% c('1','3','4','8888')",0,0.802,0.672076
3857,1,0.849,0.209,"O_BR_S %in% c('2','3','4')",0,0.791,0.671559
3175,1,0.849,0.21,"F_VEG %in% c('1','3','4','5','6','7')",0,0.79,0.67071
4911,1,0.842,0.204,"PA_TOT %in% c('1','2','4','5','6','7','8')",0,0.796,0.670232
4698,1,0.843,0.206,"E_EDU_F %in% c('2','3','8888')",0,0.794,0.669342
1595,1,0.84,0.208,"HW_S_R %in% c('1','2','3','4','6','8','10')",0,0.792,0.66528
470,1,0.824,0.193,"PR_HT %in% c('1','2','4','5')",0,0.807,0.664968
725,1,0.833,0.203,"PA_VIG %in% c('1','3','4','5','6')",0,0.797,0.663901
1068,1,0.82,0.192,"PR_HT %in% c('1','2','4')",0,0.808,0.66256
818,1,0.833,0.206,"HW_S_R %in% c('2','3','4','5','6','7','10')",0,0.794,0.661402
315,1,0.83,0.205,"PA_MSC %in% c('1','3','4','5','6')",0,0.795,0.65985
129,1,0.824,0.201,"F_FASTFOOD %in% c('2','3','4','5','6','7')",0,0.799,0.658376
170,1,0.845,0.222,"F_WAT %in% c('3','4','5')",0,0.778,0.65741
428,1,0.753,0.13,"WC_MN_M03 %in% c('0','9999')",0,0.87,0.65511
1082,1,0.827,0.208,"HW_S_R %in% c('1','2','3','4','7','9')",0,0.792,0.654984
1328,1,0.818,0.2,"E_EDU_M %in% c('3','4','8888')",0,0.8,0.6544
4465,1,0.824,0.206,"HW_S_R %in% c('1','2','3','4','9','10')",0,0.794,0.654256
1083,1,0.82,0.203,"PA_VIG %in% c('2','3','4','5','6')",0,0.797,0.65354
3492,1,0.822,0.205,"HW_S_R %in% c('2','3','4','5','6','8','10')",0,0.795,0.65349
2370,1,0.824,0.207,"HW_S_R %in% c('2','3','4','5','6','7','8')",0,0.793,0.653432
2,1,0.824,0.208,"F_CS %in% c('1','2','4','5','6','7')",0,0.792,0.652608
3754,1,0.825,0.209,"GRADE %in% c('1','2','4','5','6')",0,0.791,0.652575
269,1,0.831,0.215,"GRADE %in% c('1','3','4','5','6')",0,0.785,0.652335
623,1,0.751,0.133,"WC_MN %in% c('1','3','4')",0,0.867,0.651117
1900,1,0.819,0.206,"HW_S_R %in% c('1','2','3','4','5','9')",0,0.794,0.650286
4928,1,0.818,0.206,"RH_DG_YR %in% c('1','9999')",0,0.794,0.649492
2234,1,0.815,0.204,"HW_S_R %in% c('2','3','4','5','6','9','10')",0,0.796,0.64874
2438,1,0.814,0.206,"HW_S_R %in% c('1','2','4','5','6','8','9','10')",0,0.794,0.646316
2420,1,0.808,0.201,"PA_VIG %in% c('1','2','4','5','6')",0,0.799,0.645592
3578,1,0.812,0.205,"HW_S_R %in% c('2','3','4','6','8','9','10')",0,0.795,0.64554
4255,1,0.826,0.222,"GRADE %in% c('2','3','4','5','6')",0,0.778,0.642628
2242,1,0.804,0.202,TC_SND_S %in% c('1'),0,0.798,0.641592
1318,1,0.812,0.21,"PA_SWD_S %in% c('0','4','5','6','7','8','9','10','11','12','13','14')",0,0.79,0.64148
2538,1,0.812,0.21,"PA_SWK_N %in% c('1','3','4','5','6','7','8','9','10','11','12')",0,0.79,0.64148
768,1,0.813,0.211,"F_VEG %in% c('3','4','5','6','7')",0,0.789,0.641457
566,1,0.801,0.203,"INT_WD_MM %in% c('0','1','3','4','5')",0,0.797,0.638397
1585,1,0.807,0.209,"I_SB_BK %in% c('1','2','4','5')",0,0.791,0.638337
1005,1,0.802,0.205,"F_CAFFEINE %in% c('1','3','4','5','6','7')",0,0.795,0.63759
2033,1,0.799,0.204,"F_BR %in% c('2','3','4','5','6','7','8')",0,0.796,0.636004
883,1,0.786,0.193,O_SYMP6 %in% c('0'),0,0.807,0.634302
3921,1,0.797,0.205,"HW_S_R %in% c('2','3','4','5','8','9')",0,0.795,0.633615
511,1,0.776,0.184,"PR_HT %in% c('1','2','5')",0,0.816,0.633216
427,1,0.771,0.183,"PR_HT %in% c('1','2')",0,0.817,0.629907
3929,1,0.794,0.208,"PA_SWD_S %in% c('1','4','5','6','7','8','9','10','11','12','13','14')",0,0.792,0.628848
104,1,0.782,0.198,"HW_SPGO_H %in% c('1','2')",0,0.802,0.627164
140,1,0.794,0.211,"F_FASTFOOD %in% c('1','2','4','5','6','7')",0,0.789,0.626466
1833,1,0.788,0.206,"F_MILK %in% c('1','2','4','5','6','7')",0,0.794,0.625672
4607,2,0.786,0.204,"HW_S_R %in% c('2','3','4','6','8','9','10') & E_EDU_M %in% c('2','3','4','8888')",0,0.796,0.625656
2642,2,0.777,0.196,"PR_OH %in% c('2','3','4','5') & E_EDU_F %in% c('3','4','8888','9999')",0,0.804,0.624708
3850,1,0.776,0.195,"TC_SND_H %in% c('1','2')",0,0.805,0.62468
