"","len","sup","conf","condition","pred"
"1","1","0.263","0.809","WC_MN %in% c('2')","1"
"2","2","0.112","0.947","WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"3","2","0.055","0.94","AGE>2.5 & WC_MN %in% c('2')","1"
"4","2","0.041","0.91","AGE>3.5 & WC_MN %in% c('2')","1"
"5","2","0.034","0.897","AGE>2.5 & WC_MN_M03 %in% c('1')","1"
"6","2","0.03","0.896","AGE>3.5 & WC_MN_M03 %in% c('1')","1"
"7","1","0.026","0.899","PA_MSC %in% c('1','3')","1"
"8","1","0.022","0.927","F_WAT %in% c('3','4','5')","1"
"9","2","0.022","0.971","PA_MSC %in% c('1','3') & WC_MN %in% c('2')","1"
"10","3","0.021","0.985","AGE>2.5 & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"11","1","0.021","0.935","F_WAT %in% c('1','3','4','5')","1"
"12","2","0.018","0.825","PA_MSC %in% c('3') & WC_MN %in% c('2')","1"
"13","3","0.018","0.991","AGE>3.5 & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"14","1","0.017","0.838","PA_MSC %in% c('1','2')","1"
"15","2","0.017","0.973","F_WAT %in% c('3','4','5') & WC_MN %in% c('2')","1"
"16","2","0.017","0.981","F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2')","1"
"17","2","0.013","0.892","PA_MSC %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"18","2","0.013","0.911","PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1')","1"
"19","2","0.011","0.897","WC_MN %in% c('2') & F_VEG %in% c('3')","1"
"20","2","0.011","0.864","PA_MSC %in% c('2') & WC_MN %in% c('1','4')","0"
"21","2","0.011","0.957","F_WAT %in% c('1','3','4','5') & WC_MN_M03 %in% c('1')","1"
"22","1","0.011","0.835","O_BR_SLP %in% c('1')","0"
"23","2","0.01","0.9","WC_MN %in% c('2') & M_SLP_EN %in% c('1')","1"
"24","2","0.01","0.808","WC_MN %in% c('2') & O_SYMP6 %in% c('1')","1"
