"","len","sup","conf","condition","pred"
"1","1","0.024","0.796","AGE>13.5","1"
"2","1","0.014","0.68","AGE>14.5","1"
"3","1","0.004","0.647","AGE>17.5","1"
"4","1","0.025","0.735","E_EDU_F %in% c('1','2')","1"
"5","1","0.013","0.782","E_EDU_F %in% c('1','2','4')","1"
"6","1","0.011","0.703","E_EDU_F %in% c('2')","1"
"7","1","0.004","0.846","E_EDU_M %in% c('1','2','4')","1"
"8","1","0.003","0.762","E_EDU_M %in% c('1','3','4')","1"
"9","1","0.003","0.72","E_LT_F %in% c('1')","1"
"10","1","0.006","0.81","F_CS %in% c('2')","1"
"11","1","0.008","0.823","F_CS_F07 %in% c('9999')","1"
"12","1","0.007","0.769","F_FASTFOOD %in% c('1')","1"
"13","1","0.004","0.694","F_FRUIT %in% c('1')","1"
"14","1","0.003","0.7","F_FRUIT %in% c('1','2')","1"
"15","1","0.004","0.676","F_MILK %in% c('1')","1"
"16","1","0.003","0.773","F_MILK %in% c('1','2')","1"
"17","1","0.002","0.75","F_SODA %in% c('2')","1"
"18","1","0.006","0.735","F_VEG %in% c('1','2','4','5','6','7')","1"
"19","1","0.01","0.614","F_VEG %in% c('1','3')","1"
"20","1","0.004","0.703","F_VEG %in% c('2','4','5','6','7')","1"
"21","1","0.013","0.713","F_VEG %in% c('3')","1"
"22","1","0.006","0.783","F_WAT %in% c('1','2','4','5')","1"
"23","1","0.01","0.855","F_WAT %in% c('1','3','4','5')","1"
"24","1","0.021","0.879","F_WAT %in% c('3','4','5')","1"
"25","1","0.026","0.612","GRADE %in% c('1','3','4','5','6')","1"
"26","1","0.016","0.7","GRADE %in% c('3','4','5','6')","1"
"27","1","0.003","0.739","HW_S_R %in% c('6')","1"
"28","1","0.003","0.76","I_SB_BK %in% c('1')","1"
"29","1","0.014","0.627","M_SLP_EN %in% c('1')","1"
"30","1","0.003","0.607","O_BR_FQ %in% c('1')","1"
"31","1","0.004","0.73","O_BR_S %in% c('2','3','4')","1"
"32","1","0.017","0.705","PA_MSC %in% c('1')","1"
"33","1","0.018","0.806","PA_MSC %in% c('1','2')","1"
"34","1","0.017","0.875","PA_MSC %in% c('1','3')","1"
"35","1","0.006","0.667","PA_ST %in% c('1')","1"
"36","1","0.005","0.636","PA_ST %in% c('1','3','4','5')","1"
"37","1","0.011","0.716","PA_ST %in% c('2')","1"
"38","1","0.003","0.615","PA_SWD_N %in% c('1')","1"
"39","1","0.003","0.783","PA_SWK_N %in% c('0','1','3','4','5','6','7','8','9','10','11','12')","1"
"40","1","0.003","0.704","PA_SWK_N %in% c('0','3','4','5','6','7','8','9','10','11','12')","1"
"41","1","0.003","0.739","PA_SWK_N %in% c('3','4','5','6','7','8','9','10','11','12')","1"
"42","1","0.003","0.783","PA_TOT %in% c('2')","1"
"43","1","0.01","0.859","PA_TOT %in% c('2','3')","1"
"44","1","0.002","0.625","PA_VIG %in% c('1')","1"
"45","1","0.004","0.743","PA_VIG %in% c('1','3')","1"
"46","1","0.005","0.667","PA_VIG %in% c('2')","1"
"47","1","0.004","0.719","PA_WLK_MM %in% c('0')","1"
"48","1","0.003","0.667","TC_ACCESS %in% c('5')","1"
"49","1","0.005","0.636","TC_SND_H %in% c('3','4','5','6','7','8')","1"
"50","1","0.236","0.787","WC_MN %in% c('2')","1"
"51","1","0.204","0.724","WC_MN_M03 %in% c('1')","1"
"52","1","0.011","0.676","WC_MN_M08 %in% c('1','9999')","1"
"53","2","0.006","0.679","AGE<=13.5 & WC_MN %in% c('2')","1"
"54","2","0.011","0.657","AGE<=13.5 & WC_MN_M03 %in% c('1')","1"
"55","2","0.004","0.917","AGE>13.5 & E_EDU_F %in% c('1','2')","1"
"56","2","0.004","0.743","AGE>13.5 & WC_MN %in% c('1','3','4')","1"
"57","2","0.015","0.967","AGE>13.5 & WC_MN %in% c('2')","1"
"58","2","0.019","0.943","AGE>13.5 & WC_MN_M03 %in% c('1')","1"
"59","2","0.01","0.94","AGE>14.5 & WC_MN %in% c('2')","1"
"60","2","0.007","0.846","AGE>14.5 & WC_MN_M03 %in% c('1')","1"
"61","2","0.003","0.947","E_EDU_F %in% c('1','2') & F_VEG %in% c('3')","1"
"62","2","0.002","0.833","E_EDU_F %in% c('1','2') & O_BR_S %in% c('2','3','4')","1"
"63","2","0.021","0.955","E_EDU_F %in% c('1','2') & WC_MN %in% c('2')","1"
"64","2","0.018","0.915","E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"65","2","0.003","1","E_EDU_F %in% c('1','2','4') & PA_MSC %in% c('1','3')","1"
"66","2","0.012","0.948","E_EDU_F %in% c('1','2','4') & WC_MN %in% c('2')","1"
"67","2","0.007","0.915","E_EDU_F %in% c('1','2','4') & WC_MN_M03 %in% c('1')","1"
"68","2","0.008","0.92","E_EDU_F %in% c('2') & WC_MN %in% c('2')","1"
"69","2","0.007","0.878","E_EDU_F %in% c('2') & WC_MN_M03 %in% c('1')","1"
"70","2","0.003","0.947","E_EDU_M %in% c('1','2','4') & WC_MN %in% c('2')","1"
"71","2","0.003","0.941","E_EDU_M %in% c('1','2','4') & WC_MN_M03 %in% c('1')","1"
"72","2","0.003","0.941","E_EDU_M %in% c('1','3','4') & WC_MN_M03 %in% c('1')","1"
"73","2","0.005","0.778","E_FM_OBS_7 %in% c('9999') & WC_MN %in% c('2')","1"
"74","2","0.005","0.8","E_FM_OBS_7 %in% c('9999') & WC_MN_M03 %in% c('1')","1"
"75","2","0.003","0.87","F_CS %in% c('2') & WC_MN %in% c('2')","1"
"76","2","0.004","0.897","F_CS %in% c('2') & WC_MN_M03 %in% c('1')","1"
"77","2","0.005","0.853","F_CS_F07 %in% c('9999') & WC_MN %in% c('2')","1"
"78","2","0.006","0.897","F_CS_F07 %in% c('9999') & WC_MN_M03 %in% c('1')","1"
"79","2","0.002","0.938","F_FRUIT %in% c('1','2') & WC_MN %in% c('2')","1"
"80","2","0.003","0.769","F_WAT %in% c('1','2','4','5') & WC_MN %in% c('2')","1"
