"","Added_Var","Accuracy","Recall","Precision","F1_Score","AUC","R2"
"1","GRADE",0.7935,0,NA,NA,0.5915,0.0143
"2","PR_HT",0.7935,0,NA,NA,0.6114,0.0256
"3","TC_ACCESS",0.7935,0,NA,NA,0.6122,0.0261
"4","TC_DAYS",0.793,6e-04,0.1667,0.0012,0.6141,0.0269
"5","WC_MN_M01",0.7923,0.0076,0.3611,0.0148,0.6609,0.0578
"6","AC_AMNT",0.7924,0.0082,0.3784,0.016,0.6615,0.0582
"7","TC_SND_H",0.7926,0.0175,0.4412,0.0336,0.6618,0.061
"8","AC_ACCESS",0.7929,0.0175,0.4615,0.0337,0.6612,0.0621
"9","INT_WK_MM",0.7936,0.0256,0.5057,0.0488,0.663,0.0642
"10","E_LT_F",0.7927,0.0262,0.4639,0.0496,0.6637,0.0649
"11","PA_SWK_N",0.7918,0.0268,0.434,0.0505,0.6637,0.0661
"12","PA_SWD_S",0.7921,0.0268,0.4423,0.0505,0.6635,0.0666
"13","PA_SWK_S",0.7923,0.0303,0.4561,0.0568,0.6623,0.0675
"14","TC_SND_S",0.7927,0.0332,0.4711,0.0621,0.6618,0.068
"15","E_LT_M",0.792,0.0303,0.4444,0.0567,0.6622,0.0681
"16","TC_AMNT",0.7916,0.0291,0.431,0.0546,0.6619,0.0687
"17","SleepAvg_WK",0.7905,0.0344,0.4126,0.0635,0.6655,0.0722
"18","AC_DRUNK",0.7905,0.0344,0.4126,0.0635,0.6651,0.0723
"19","PA_VIG",0.7893,0.0367,0.3913,0.0671,0.666,0.0761
"20","E_FM_OBS_7",0.7898,0.0385,0.4049,0.0703,0.6676,0.0765
"21","INT_WD_MM",0.7894,0.0396,0.4,0.0721,0.6681,0.0768
"22","E_FM_GM_6",0.7897,0.0396,0.4048,0.0722,0.668,0.0768
"23","TC_SND_P",0.788,0.0379,0.3693,0.0687,0.669,0.0783
"24","TC_GHW_H",0.7902,0.0425,0.4195,0.0772,0.6686,0.0791
"25","E_S_RCRD",0.7914,0.0472,0.45,0.0854,0.6693,0.0802
"26","PA_MSC",0.7903,0.0664,0.4471,0.1157,0.6796,0.0901
"27","TC_EC_MN",0.7894,0.0659,0.4346,0.1144,0.6793,0.0904
"28","O_BR_FQ",0.7903,0.0693,0.4491,0.1201,0.6813,0.0915
"29","AS_DG_YR",0.7896,0.0705,0.44,0.1215,0.6812,0.0921
"30","HW_SPML_H",0.7897,0.0705,0.4416,0.1216,0.6808,0.0921
"31","AC_DAYS",0.7896,0.0693,0.4391,0.1198,0.6803,0.0926
"32","HW_SPRM_S",0.7899,0.0723,0.446,0.1244,0.681,0.0931
"33","F_CS_F07",0.7897,0.0688,0.4403,0.119,0.6837,0.0945
"34","PA_SWD_N",0.7902,0.0711,0.4485,0.1227,0.6828,0.0948
"35","PA_ST",0.7888,0.0693,0.4296,0.1194,0.6824,0.0954
"36","F_FRUIT",0.7893,0.0705,0.4368,0.1214,0.6813,0.0959
"37","TC_HTP_MN",0.7898,0.0728,0.4448,0.1252,0.6811,0.0962
"38","PA_TOT",0.7892,0.0728,0.4371,0.1249,0.6797,0.0969
"39","HW_SPGO_H",0.7899,0.0763,0.4486,0.1305,0.6783,0.0991
"40","F_VEG",0.7885,0.0822,0.4352,0.1382,0.6797,0.1028
