"","len","freq","err","condition","pred"
"1","1","0.333","0","X[,4]<=0.8","setosa"
"2","4","0.187","0","X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.45 & X[,4]<=1.35","versicolor"
"3","5","0.013","0.5","X[,2]<=2.7 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.45 & X[,4]>1.35","versicolor"
"4","5","0.04","0","X[,2]>2.7 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.45 & X[,4]>1.35","versicolor"
"5","6","0.013","0","X[,2]<=2.85 & X[,3]<=4.8 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]<=1.55","versicolor"
"6","6","0.02","0.333","X[,2]<=2.85 & X[,3]>4.8 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]<=1.55","virginica"
"7","5","0.013","0.5","X[,2]<=2.85 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]>1.55","versicolor"
"8","5","0.047","0","X[,2]>2.85 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]<=1.55","versicolor"
"9","6","0.02","0","X[,2]>2.85 & X[,3]<=5.4 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]>1.55","versicolor"
"10","6","0.007","0","X[,2]>2.85 & X[,3]>5.4 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.45 & X[,4]>1.55","virginica"
"11","4","0.067","0","X[,2]<=3.1 & X[,4]>0.8 & X[,4]>1.75 & X[,4]<=1.85","virginica"
"12","5","0.007","0","X[,2]>3.1 & X[,3]<=5.4 & X[,4]>0.8 & X[,4]>1.75 & X[,4]<=1.85","versicolor"
"13","5","0.007","0","X[,2]>3.1 & X[,3]>5.4 & X[,4]>0.8 & X[,4]>1.75 & X[,4]<=1.85","virginica"
"14","3","0.227","0","X[,4]>0.8 & X[,4]>1.75 & X[,4]>1.85","virginica"
"15","6","0.087","0","X[,2]<=2.55 & X[,3]<=5.35 & X[,3]<=4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.6","versicolor"
"16","6","0.007","0","X[,2]<=2.55 & X[,3]<=5.35 & X[,3]>4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.6","virginica"
"17","5","0.007","0","X[,2]<=2.55 & X[,3]<=5.35 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.6","virginica"
"18","4","0.247","0.027","X[,2]>2.55 & X[,3]<=5.35 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"19","3","0.013","0","X[,3]>5.35 & X[,4]>0.8 & X[,4]<=1.75","virginica"
"20","2","0.307","0.022","X[,4]>0.8 & X[,4]>1.75","virginica"
"21","1","0.333","0","X[,4]<=0.75","setosa"
"22","3","0.333","0.04","X[,3]<=5 & X[,4]>0.75 & X[,4]<=1.7","versicolor"
"23","4","0.013","0.5","X[,2]<=2.75 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.7","versicolor"
"24","4","0.013","0","X[,2]>2.75 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.7","virginica"
"25","2","0.307","0.022","X[,4]>0.75 & X[,4]>1.7","virginica"
"26","4","0.32","0.021","X[,3]<=5.35 & X[,3]<=5 & X[,4]>0.75 & X[,4]<=1.65","versicolor"
"27","5","0.007","0","X[,3]<=5.35 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.65 & X[,4]<=1.55","virginica"
"28","5","0.007","0","X[,3]<=5.35 & X[,3]>5 & X[,4]>0.75 & X[,4]<=1.65 & X[,4]>1.55","versicolor"
"29","3","0.013","0","X[,3]>5.35 & X[,4]>0.75 & X[,4]<=1.65","virginica"
"30","4","0.02","0","X[,2]<=3.1 & X[,3]<=4.85 & X[,4]>0.75 & X[,4]>1.65","virginica"
"31","4","0.007","0","X[,2]>3.1 & X[,3]<=4.85 & X[,4]>0.75 & X[,4]>1.65","versicolor"
"32","3","0.293","0.023","X[,3]>4.85 & X[,4]>0.75 & X[,4]>1.65","virginica"
"33","3","0.293","0","X[,3]<=4.75 & X[,4]>0.8 & X[,4]<=1.65","versicolor"
"34","3","0.007","0","X[,3]<=4.75 & X[,4]>0.8 & X[,4]>1.65","virginica"
"35","4","0.02","0","X[,3]>4.75 & X[,3]<=4.95 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"36","5","0.02","0","X[,3]>4.75 & X[,3]>4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.55","virginica"
"37","6","0.013","0","X[,3]>4.75 & X[,3]>4.95 & X[,3]<=5.45 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.55","versicolor"
