,Variables,Euclidean distance
0,BMI_0,0.0
1,O_SYMP1_1_9999,1.168756127357483
2,I_SCH_ED1_9999,1.171147346496582
3,O_OCP4_9999,1.183526873588562
4,O_OCP3_9999,1.224654197692871
5,O_SYMP2_1,1.2346333265304565
6,I_SB_EX_2,1.2562757730484009
7,O_SYMP2_0,1.3119964599609375
8,O_SLNT_1,1.314439058303833
9,O_SLNT_2,1.3149172067642212
10,PR_OH_2,1.3152368068695068
11,O_SYMP5_0,1.33687162399292
12,O_OCP1_9999,1.3564817905426025
13,I_SCH_TRT_1,1.3583322763442993
14,O_SCL_1,1.359458565711975
15,O_SCL_2,1.3642598390579224
16,O_SYMP1_0,1.3712025880813599
17,I_SB_FR_2,1.3895349502563477
18,O_OCP3_3,1.3908804655075073
19,O_OCP2_9999,1.3932734727859497
20,TC_LT_1,1.4030033349990845
21,PR_OH_3,1.4105455875396729
22,O_DC_FQ_3,1.410859227180481
23,I_SCH_TRT_2,1.4141350984573364
24,AC_ACCESS_1,1.4296751022338867
25,TC_EC_LT_1,1.430771827697754
26,AC_AMNT_9999,1.4312583208084106
27,O_DC_FQ_2,1.4388076066970825
28,O_BR_SLP_1,1.4481263160705566
29,AC_DRUNK_9999,1.4505895376205444
30,O_OCP2_2,1.4607932567596436
31,M_SUI_PLN_1,1.4648643732070923
32,TC_DAYS_9999,1.47890305519104
33,O_OCP1_1,1.4912453889846802
34,O_BR_S_3,1.499776005744934
35,TC_EC_MN_9999,1.5052316188812256
36,M_SUI_CON_1,1.5123835802078247
37,M_SUI_ATT_1,1.5156712532043457
38,O_DC_FQ_5,1.5198519229888916
39,I_SB_FR_3,1.52097487449646
40,V_TRT_1,1.525498628616333
41,TC_HTP_LT_1,1.526053547859192
42,PR_OH_4,1.535853624343872
43,O_SYMP3_1,1.5505640506744385
44,M_SAD_1,1.5593281984329224
45,O_DC_FQ_4,1.5699297189712524
46,TC_HTP_MN_9999,1.5699602365493774
47,O_BR_S_4,1.5712025165557861
48,O_SYMP4_1,1.5731127262115479
49,O_SYMP1_1,1.5811866521835327
50,O_SYMP5_1,1.6030062437057495
51,O_SYMP3_0,1.6240564584732056
