,Variables,Euclidean distance
0,BMI_1,0.0
1,I_SB_EX_1,1.2903470993041992
2,I_SB_EX_3,1.3841406106948853
3,I_SB_EX_4,1.385768175125122
4,O_OCP4_4,1.396366834640503
5,I_SB_EX_5,1.4045501947402954
6,O_BR_S_2,1.4862289428710938
7,O_DC_FQ_1,1.500120997428894
8,O_BR_S_1,1.511643886566162
9,I_SB_FR_4,1.5119792222976685
10,O_BR_SLP_2,1.5453873872756958
11,I_SB_FR_1,1.5882174968719482
12,PR_OH_1,1.5987286567687988
13,AC_FAGE_8,1.6791678667068481
14,O_BR_FQ_10,1.6840105056762695
15,V_TRT_2,1.6934202909469604
16,M_SAD_2,1.7031128406524658
17,AC_ACCESS_2,1.7449835538864136
18,AC_FAGE_1,1.7599856853485107
19,I_SB_FR_5,1.7629480361938477
20,O_BR_FQ_2,1.7675522565841675
21,M_SUI_CON_2,1.7801318168640137
22,O_BR_FQ_5,1.7920962572097778
23,HW_S_R_6,1.7922333478927612
24,HW_S_R_9,1.8096928596496582
25,M_SLP_EN_1,1.8426743745803833
26,AC_FAGE_7,1.8466497659683228
27,HW_S_R_8,1.846674919128418
28,O_BR_FQ_6,1.8497421741485596
29,AC_FAGE_4,1.8518266677856445
30,AC_FAGE_5,1.8567607402801514
31,AC_FAGE_6,1.8713912963867188
32,HW_S_R_5,1.8909239768981934
33,PR_OH_5,1.8942975997924805
34,AC_FAGE_10,1.895912528038025
35,M_SUI_PLN_2,1.898003339767456
36,I_SB_BK_1,1.9015697240829468
37,HW_S_R_4,1.9041296243667603
38,M_SLP_EN_3,1.9102951288223267
39,HW_S_R_7,1.9172757863998413
40,O_BR_FQ_8,1.9196745157241821
41,M_SLP_EN_4,1.9244329929351807
42,HW_S_R_1,1.9271658658981323
43,M_SLP_EN_5,1.9675222635269165
44,O_BR_SLP_3,1.974151372909546
45,AC_FAGE_3,1.9756712913513184
46,AC_FAGE_12,1.9780696630477905
47,TC_ACCESS_2,1.980925440788269
48,TC_SND_H_6,1.9874545335769653
49,AC_DAYS_5,2.0047099590301514
50,O_SYMP6_1,2.005007743835449
51,I_SB_BK_5,2.007183790206909
52,O_BR_FQ_1,2.011831521987915
53,TC_SND_H_5,2.0142569541931152
54,AC_FAGE_2,2.0143966674804688
55,M_SUI_ATT_2,2.021031141281128
56,TC_SND_S_2,2.02579402923584
57,AC_DAYS_3,2.0349249839782715
58,M_STR_2,2.0432310104370117
59,HW_SPRM_S_4,2.0491080284118652
60,TC_SND_H_7,2.0539941787719727
61,WC_MN_M02_1,2.0545549392700195
62,TC_SND_H_4,2.0617477893829346
63,AC_FAGE_13,2.063647747039795
64,M_STR_1,2.070183515548706
65,AC_DAYS_4,2.070805072784424
66,TC_SND_H_8,2.081801414489746
67,O_BR_FQ_9,2.0819578170776367
68,O_BR_FQ_7,2.0878119468688965
69,TC_SND_H_3,2.089014768600464
70,TC_SND_S_3,2.1019630432128906
71,TC_SND_S_5,2.10327410697937
72,PA_TRA_5,2.109969139099121
73,I_SCH_ED1_1,2.1135692596435547
74,V_TRT_5,2.1135971546173096
75,TC_SND_S_4,2.1144347190856934
76,TC_SND_H_2,2.1176624298095703
77,PA_SWK_S_10,2.1181952953338623
78,PA_TRA_MM_2,2.1263723373413086
79,TC_SND_S_6,2.1358883380889893
80,PA_SWD_N_6,2.1368837356567383
81,AC_AMNT_2,2.144076108932495
82,V_TRT_3,2.1490869522094727
83,PA_TRA_7,2.153334379196167
84,PA_ST_5,2.1558117866516113
85,PA_SWD_S_13,2.156785249710083
86,PA_WLK_MM_3,2.1579089164733887
87,PA_SWK_S_7,2.1593806743621826
88,HW_S_R_10,2.1599984169006348
89,PA_ST_4,2.163419008255005
90,AC_ACCESS_3,2.1688733100891113
91,PA_WLK_5,2.170003652572632
92,PA_SWK_N_8,2.1723315715789795
93,WC_MN_M08_1,2.1725850105285645
94,PA_SWK_S_6,2.1737611293792725
95,I_SCH_ED3_9999,2.1741554737091064
96,PA_TRA_2,2.1753714084625244
97,V_TRT_7,2.178156614303589
98,HW_SPML_H_4,2.179199695587158
99,AC_DAYS_2,2.1795170307159424
100,TC_SND_P_6,2.181863784790039
101,AC_AMNT_5,2.1821517944335938
102,AC_AMNT_3,2.185028076171875
103,AC_ACCESS_5,2.185436248779297
104,PA_SWK_S_8,2.1890242099761963
105,PA_WLK_4,2.1897077560424805
106,PA_TRA_MM_3,2.193122625350952
107,PA_SWK_N_7,2.1979498863220215
108,PA_SWK_S_9,2.2038848400115967
109,PA_WLK_7,2.209831476211548
110,PA_SWK_N_9,2.2100701332092285
111,AC_DRUNK_2,2.213701009750366
112,PA_SWD_S_11,2.2179036140441895
113,PA_TRA_3,2.2185277938842773
114,AC_ACCESS_4,2.223266839981079
115,F_CS_F08_8,2.2237861156463623
116,PA_TRA_4,2.2241408824920654
117,PA_SWD_S_12,2.230233907699585
118,AC_AMNT_4,2.2332913875579834
119,PA_SWK_N_10,2.235612154006958
120,PA_WLK_3,2.2407469749450684
121,PA_SWD_S_5,2.2454347610473633
122,PA_SWK_N_11,2.2503230571746826
123,TC_SND_P_7,2.258527994155884
124,V_TRT_6,2.261908769607544
125,PA_SWK_S_4,2.265202283859253
126,PA_SWD_N_5,2.2665696144104004
127,PA_SWK_S_11,2.2691473960876465
128,F_CS_F11_11,2.2701621055603027
129,PA_SWD_S_6,2.279430866241455
130,PA_SWD_S_3,2.283043384552002
131,PA_SWD_S_4,2.284047842025757
132,TC_SND_S_7,2.284118175506592
133,PA_SWD_S_9,2.288860321044922
134,PA_SWK_N_12,2.2895727157592773
135,PA_WLK_2,2.2906126976013184
136,TC_SND_P_5,2.2952280044555664
137,AC_AMNT_1,2.296046495437622
138,F_CS_F09_9,2.3024842739105225
139,PA_SWD_N_7,2.30680775642395
140,PA_SWD_S_14,2.3099069595336914
141,TC_SND_P_4,2.3108677864074707
142,PA_SWK_S_5,2.3118326663970947
143,PA_MSC_5,2.3119616508483887
144,TC_FAGE_7,2.313208818435669
145,PA_SWD_S_7,2.313504695892334
146,PA_SWK_N_6,2.3154373168945312
147,TC_SND_P_3,2.3162143230438232
148,PA_SWD_S_2,2.3165297508239746
149,TC_DAYS_2,2.3218672275543213
150,TC_SND_S_8,2.3224308490753174
151,WC_MN_M10_1,2.324915885925293
152,TC_DAGE_3,2.3249690532684326
153,AC_DAYS_6,2.3263332843780518
154,PA_SWD_N_4,2.32650089263916
155,TC_EC_LT_2,2.3269190788269043
156,PA_WLK_1,2.3282735347747803
157,PA_TRA_6,2.3325095176696777
158,TC_FAGE_10,2.3458409309387207
159,PA_WLK_6,2.3465261459350586
160,TC_FAGE_4,2.3467257022857666
161,F_CS_F06_6,2.3468430042266846
162,TC_EC_MN_1,2.348453998565674
163,TC_FAGE_9,2.3490893840789795
164,TC_SND_P_2,2.3574836254119873
165,PA_SWD_S_8,2.3688831329345703
166,TC_DAYS_4,2.372018337249756
167,TC_FAGE_8,2.3738362789154053
168,TC_FAGE_11,2.3759779930114746
169,PA_SWK_S_3,2.3765451908111572
170,WC_MN_4,2.3775794506073
171,PA_SWD_S_1,2.387101650238037
172,PA_SWK_N_4,2.3923721313476562
173,TC_FAGE_6,2.3946003913879395
174,TC_DAYS_6,2.3998289108276367
175,PA_SWK_N_0,2.4064252376556396
176,TC_SND_P_8,2.407149076461792
177,PA_SWD_S_10,2.4101760387420654
178,TC_DAGE_2,2.41290545463562
179,HW_SPRM_H_4,2.415239095687866
180,TC_FAGE_3,2.416973114013672
181,PA_TOT_5,2.4327447414398193
182,PA_TRA_MM_1,2.4357471466064453
183,TC_DAYS_5,2.43804669380188
184,PA_SWK_N_5,2.438586711883545
185,TC_FAGE_12,2.4392874240875244
186,F_CS_F02_2,2.4428412914276123
187,PA_SWK_N_1,2.44785475730896
188,PA_MSC_3,2.448824882507324
189,TC_GHW_H_1,2.449084758758545
190,V_TRT_4,2.4552223682403564
191,DR_EXP_1,2.456058979034424
192,TC_FAGE_5,2.456216335296631
193,PA_PE_FQ_2,2.4616897106170654
194,PA_SWD_N_0,2.463245391845703
195,F_WAT_1,2.4744296073913574
196,PA_SWK_S_1,2.474952220916748
197,TC_DAYS_3,2.478178024291992
198,WC_MN_M09_1,2.4866373538970947
199,PA_SWD_S_0,2.490975856781006
200,PA_PE_FQ_1,2.4928321838378906
201,TC_DAYS_7,2.4981980323791504
202,PA_SWK_N_3,2.50337815284729
203,S_SI_2,2.506830930709839
204,AC_DRUNK_3,2.508028268814087
205,AC_DRUNK_1,2.511434555053711
206,PA_SWK_N_2,2.513692855834961
207,PA_MSC_2,2.518876314163208
208,F_CS_F10_10,2.519943952560425
209,HW_SPGO_H_4,2.523205518722534
210,AS_DG_LT_2,2.527512788772583
211,PA_TOT_2,2.5308449268341064
212,PA_TOT_4,2.5383286476135254
213,F_CS_4,2.542360305786133
214,AC_DAYS_7,2.5440080165863037
215,F_WAT_4,2.5442051887512207
216,TC_HTP_LT_2,2.550260305404663
217,S_CONT_M_5,2.5587875843048096
218,AS_DG_YR_2,2.5619280338287354
219,PA_TOT_3,2.562006711959839
220,TC_EC_MN_4,2.5622828006744385
221,TC_AMNT_2,2.5625343322753906
222,TC_FAGE_2,2.5627076625823975
223,TC_HTP_MN_1,2.568930149078369
224,TC_EC_MN_3,2.5690653324127197
225,INT_WD_MM_4,2.570916175842285
226,TC_GHW_2,2.5769970417022705
227,AS_DG_YR_1,2.577939033508301
228,TC_FAGE_1,2.5815391540527344
