Factors,BMI_0,Rank_BMI_0,BMI_1,Rank_BMI_1,cosine difference
AC_ACCESS_1,0.8663708567619324,8,0.7793958783149719,21,0.08697497844696045
AC_ACCESS_2,0.5587844848632812,213,0.5205892324447632,253,0.038195252418518066
AC_ACCESS_3,0.4417928457260132,454,0.4260144829750061,448,0.01577836275100708
AC_ACCESS_4,0.4213652014732361,498,0.38871875405311584,527,0.03264644742012024
AC_ACCESS_5,0.40500766038894653,538,0.3944171071052551,515,0.010590553283691406
AC_AMNT_0,0.869173526763916,6,0.7818387746810913,19,0.08733475208282471
AC_AMNT_1,0.43933406472206116,460,0.5149044990539551,262,0.07557043433189392
AC_AMNT_2,0.4081057906150818,530,0.4684509038925171,355,0.0603451132774353
AC_AMNT_3,0.407647967338562,531,0.43638765811920166,424,0.02873969078063965
AC_AMNT_4,0.4068479537963867,532,0.3976579010486603,506,0.00919005274772644
AC_AMNT_5,0.4042317569255829,540,0.3753834366798401,551,0.028848320245742798
AC_DAYS_0,0.6935569047927856,109,0.6088460087776184,139,0.08471089601516724
AC_DAYS_1,0.6490595936775208,143,0.6881422400474548,71,0.03908264636993408
AC_DAYS_2,0.4443942904472351,447,0.5221079587936401,251,0.07771366834640503
AC_DAYS_3,0.4256841540336609,488,0.49514132738113403,290,0.06945717334747314
AC_DAYS_4,0.4407878816127777,457,0.4594956636428833,377,0.01870778203010559
AC_DAYS_5,0.4652748107910156,398,0.463896244764328,366,0.001378566026687622
AC_DAYS_6,0.45764538645744324,411,0.37303149700164795,555,0.08461388945579529
AC_DAYS_7,0.3579649329185486,617,0.2645461857318878,660,0.09341874718666077
AC_DRUNK_0,0.8594967126846313,9,0.7618120908737183,32,0.09768462181091309
AC_DRUNK_1,0.40222781896591187,543,0.485283225774765,312,0.08305540680885315
AC_DRUNK_2,0.371732234954834,596,0.388680100440979,528,0.01694786548614502
AC_DRUNK_3,0.3812867999076843,588,0.31500086188316345,623,0.06628593802452087
