,Variables,Euclidean distance,Variables,Euclidean distance
0,BMI_1,0.0,BMI_0,0.0
1,O_DC_FQ_1,0.8754191994667053,O_SYMP4_0,0.5674081444740295
2,M_SAD_2,0.9440923929214478,O_SYMP5_0,0.5801485180854797
3,O_BR_SLP_2,1.0563262701034546,O_SYMP2_0,0.6044705510139465
4,AC_DAYS_1,1.0661555528640747,V_TRT_1,0.6253703832626343
5,TC_SND_H_8,1.0955314636230469,O_OCP2_9999,0.629224419593811
6,I_SB_EX_5,1.1193658113479614,AC_ACCESS_1,0.6436023116111755
7,M_SUI_CON_2,1.1288069486618042,AC_AMNT_0,0.6456893682479858
8,M_SLP_EN_5,1.1297858953475952,O_SYMP3_0,0.646384596824646
9,AC_FAGE_8,1.1430705785751343,O_OCP1_9999,0.6588754653930664
10,AC_FAGE_7,1.1612404584884644,O_SYMP1_0,0.6612035632133484
11,O_SYMP6_1,1.1661498546600342,O_OCP4_9999,0.6651796102523804
12,AC_FAGE_5,1.2140257358551025,M_SUI_PLN_1,0.6674342751502991
13,AC_FAGE_4,1.2528080940246582,AC_DRUNK_0,0.6702545285224915
14,M_STR_1,1.2634841203689575,TC_DAGE_9999,0.6719649434089661
15,I_SB_BK_5,1.283477783203125,TC_HTP_MN_0,0.6757534742355347
16,M_SUI_PLN_2,1.3021538257598877,I_SCH_ED1_9999,0.6845607757568359
17,O_BR_FQ_7,1.3145947456359863,O_SCL_1,0.6878871917724609
18,O_BR_FQ_6,1.3230992555618286,TC_HTP_LT_1,0.6893095970153809
19,AC_LT_2,1.323253870010376,M_SAD_1,0.7009433507919312
20,TC_SND_H_7,1.363023042678833,M_SUI_ATT_1,0.7025850415229797
21,AC_FAGE_3,1.3732857704162598,PR_OH_3,0.703452467918396
22,PA_SWK_N_9,1.3806697130203247,O_DC_FQ_2,0.7151239514350891
23,TC_SND_P_6,1.3847147226333618,O_OCP3_9999,0.7191138863563538
24,F_CAFFEINE_6,1.4178146123886108,I_SCH_TRT_1,0.7339443564414978
25,WC_MN_2,1.4372789859771729,M_SUI_CON_1,0.7341152429580688
26,O_BR_SLP_3,1.4601209163665771,I_SCH_ED2_2,0.7384887933731079
27,PA_SWK_N_8,1.4720948934555054,O_BR_S_4,0.7387123107910156
28,PA_SWK_N_10,1.4811692237854004,O_SYMP1_1_0,0.7436330914497375
29,M_SUI_ATT_2,1.4819782972335815,TC_SND_S_1,0.7486709356307983
30,TC_SND_S_6,1.4857815504074097,TC_EC_LT_1,0.7552604079246521
31,AC_FAGE_12,1.4876737594604492,TC_SND_H_1,0.7569418549537659
32,AC_FAGE_13,1.4929027557373047,PR_OH_2,0.7587181329727173
33,WC_MN_4,1.5047528743743896,TC_ACCESS_1,0.7594577074050903
34,WC_MN_M03_1,1.5059785842895508,O_SLNT_1,0.7605348825454712
35,AC_FAGE_2,1.5110020637512207,HW_S_R_2,0.7616974115371704
36,AC_DAYS_3,1.517227053642273,O_BR_SLP_1,0.7674641013145447
37,WC_MN_M01_0,1.5179805755615234,O_BR_FQ_3,0.7771260738372803
38,O_BR_FQ_1,1.5260322093963623,TC_EC_MN_0,0.7851581573486328
39,AC_DAYS_2,1.5269845724105835,O_BR_S_3,0.7873288989067078
40,WC_MN_M01_1,1.5290318727493286,O_SYMP2_1,0.7941668033599854
41,PA_SWK_N_6,1.5381839275360107,TC_LT_1,0.7944522500038147
42,AS_DG_LT_2,1.5386178493499756,S_CONT_M_9999,0.7991576194763184
43,AC_AMNT_1,1.5455971956253052,O_DC_FQ_3,0.8056793808937073
44,WC_MN_M02_1,1.5464088916778564,TC_AMNT_0,0.8066862225532532
45,TC_SND_S_8,1.552594780921936,M_SLP_EN_3,0.8133738040924072
46,F_CAFFEINE_5,1.563981056213379,O_BR_FQ_4,0.8180747032165527
47,AC_AMNT_2,1.5731698274612427,O_BR_S_2,0.8231337666511536
48,AC_DAYS_4,1.5769946575164795,DR_LT_0,0.8308243155479431
49,PA_SWK_S_10,1.581451177597046,M_SLP_EN_2,0.8411161303520203
50,PA_PE_FQ_2,1.5821419954299927,I_SB_FR_2,0.8504666090011597
51,PA_SWK_N_12,1.5988866090774536,HW_S_R_3,0.8517342209815979
52,AC_AMNT_3,1.613097906112671,AS_DG_LT_1,0.8609449863433838
53,PA_ST_1,1.627253532409668,S_SI_1,0.8651196956634521
54,WC_MN_M02_0,1.6314774751663208,O_BR_S_1,0.8652100563049316
55,TC_LT_2,1.6347771883010864,I_SCH_TRT_2,0.867708146572113
56,TC_GHW_H_1,1.637385606765747,TC_DAYS_0,0.8691869378089905
57,PA_SWD_S_14,1.6481237411499023,DR_EXP_1,0.8727354407310486
58,AC_DRUNK_1,1.6649936437606812,I_SB_EX_3,0.8815301060676575
59,WC_MN_M04_0,1.6738834381103516,HW_S_R_1,0.8828026056289673
60,PA_SWD_N_7,1.68366539478302,I_SB_EX_2,0.8855717778205872
61,AS_DG_YR_1,1.6933624744415283,O_SCL_2,0.8968479633331299
62,TC_DAYS_2,1.6954166889190674,O_SLNT_2,0.9007633924484253
63,PA_PE_FQ_1,1.7099497318267822,M_SLP_EN_4,0.9031467437744141
64,WC_MN_M05_0,1.711751937866211,S_CONT_9999,0.9075310826301575
65,INT_WD_MM_4,1.7375625371932983,O_OCP2_2,0.9081934094429016
66,INT_WK_MM_6,1.7522509098052979,I_SB_EX_1,0.9087772369384766
67,AGE_18,1.7542437314987183,I_SB_FR_3,0.9230947494506836
68,INT_WD_MM_5,1.7561928033828735,F_CS_F06_9999,0.9292359352111816
69,PR_HT_5,1.7682663202285767,O_OCP5_5,0.9410113096237183
70,TC_AMNT_1,1.789172649383545,S_EDU_2,0.9418163299560547
71,WC_MN_M06_0,1.7900081872940063,O_OCP4_4,0.943185031414032
72,TC_GHW_QT_1,1.7968910932540894,TC_SND_P_1,0.944101095199585
73,PA_TOT_2,1.7996028661727905,O_DC_FQ_4,0.9491705894470215
74,INT_WK_MM_8,1.8001331090927124,I_SB_EX_4,0.950796902179718
75,PA_SWK_S_11,1.8024078607559204,TC_QT_YR_9999,0.964430570602417
76,AC_DRUNK_2,1.813409686088562,F_CS_F09_9999,0.9783874154090881
77,E_SES_4,1.8277817964553833,HW_S_R_7,0.9858962893486023
78,E_SES_5,1.8313957452774048,I_SCH_ED3_3,0.9894422292709351
79,E_BORN_F_10,1.842812180519104,O_DC_FQ_5,0.9914838075637817
80,INT_WK_MM_7,1.846832275390625,PA_TRA_MM_0,0.9943451881408691
81,AS_DG_YR_2,1.8515782356262207,O_SYMP6_0,0.9954156875610352
82,F_MILK_1,1.8913471698760986,PR_OH_4,0.997954249382019
83,INT_WK_MM_9,1.897215723991394,O_BR_FQ_10,0.9983710646629333
84,WC_MN_M08_1,1.9019209146499634,O_SYMP4_1,1.00355064868927
85,AGE_17,1.909546136856079,F_CS_F08_9999,1.0055843591690063
86,INT_WK_MM_10,1.9223542213439941,I_SCH_ED2_9999,1.006486415863037
87,AGE_16,1.9249826669692993,O_OCP1_1,1.0141735076904297
88,WC_MN_M07_0,1.9316335916519165,HW_EDU_1,1.0208653211593628
89,TC_DAGE_2,1.9425400495529175,O_BR_FQ_5,1.0231330394744873
90,SleepAvg_WK_4,1.946239948272705,I_SB_FR_1,1.0372580289840698
91,E_EDU_F_1,1.948182225227356,F_CS_F05_9999,1.0407525300979614
92,E_S_RCRD_4,1.9555854797363281,TC_SND_H_4,1.0408762693405151
93,A_FM_1,1.9573105573654175,M_SLP_EN_1,1.045129656791687
94,WC_MN_M05_1,1.9677413702011108,E_RES_1,1.0505117177963257
95,WC_MN_M09_1,1.969718337059021,AC_LT_1,1.0509681701660156
96,WC_MN_M04_1,1.9744431972503662,HW_SPML_H_2,1.0556377172470093
97,PR_HT_4,2.029268503189087,TC_SND_P_2,1.060077428817749
98,RH_DG_LT_2,2.037116765975952,I_SB_FR_4,1.0602530241012573
99,E_FM_SF_2_9999,2.0500409603118896,O_OCP3_3,1.0645225048065186
100,WC_MN_M07_1,2.0856833457946777,M_STR_3,1.0654362440109253
101,WC_MN_M10_1,2.101574420928955,F_CS_F01_9999,1.0658628940582275
102,E_FM_SF_2_2,2.1025876998901367,HW_S_R_9,1.0669927597045898
103,E_FM_SM_4_9999,2.118171453475952,HW_S_R_8,1.0677690505981445
104,E_FM_F_1_1,2.1227309703826904,HW_S_R_5,1.067819356918335
105,F_SODA_1,2.1335015296936035,F_CS_F11_9999,1.0687084197998047
106,E_BORN_F_8,2.1370224952697754,I_SB_BK_3,1.069092869758606
107,E_FM_GF_5_5,2.141627073287964,F_CS_F02_9999,1.070344090461731
108,WC_MN_M08_0,2.1424975395202637,PA_TRA_MM_1,1.0762107372283936
109,E_EDU_M_1,2.145460844039917,O_EDU_1,1.0769901275634766
110,TC_GHW_H_4,2.1595821380615234,TC_SND_P_4,1.0868507623672485
111,E_LT_M_2,2.163299798965454,TC_FAGE_14,1.0916486978530884
112,E_FM_GM_6_6,2.169795513153076,I_SB_BK_4,1.0947773456573486
113,E_FM_OBS_7_7,2.205564022064209,TC_SND_H_2,1.0962014198303223
114,E_FM_M_3_3,2.2199785709381104,O_OCP5_9999,1.0971219539642334
115,F_FRUIT_1,2.2264957427978516,O_BR_FQ_2,1.0978986024856567
116,E_FM_OBS_7_9999,2.2295026779174805,M_STR_2,1.0992194414138794
117,WC_MN_M06_1,2.231198310852051,F_CS_F10_9999,1.0992240905761719
118,E_FM_YBS_8_8,2.2338593006134033,TC_SND_P_3,1.099478840827942
119,E_LT_F_2,2.2429916858673096,HW_EDU_2,1.1035199165344238
120,E_FM_F_1_9999,2.2521440982818604,M_STR_4,1.108106255531311
121,PR_HT_3,2.2535767555236816,HW_SPRM_S_2,1.1176352500915527
122,E_FM_SM_4_4,2.262808084487915,TC_SND_H_3,1.1186412572860718
123,E_FM_NO_9_9999,2.294952154159546,HW_SPML_H_3,1.1215760707855225
124,SleepAvg_WK_5,2.296849250793457,HW_SPRM_H_1,1.1248396635055542
125,E_FM_YBS_8_9999,2.301729679107666,PA_TRA_MM_2,1.1261361837387085
126,F_BR_1,2.3123250007629395,PR_OH_1,1.1306273937225342
127,E_LT_SF_1,2.3188633918762207,O_SYMP3_1,1.1314374208450317
128,E_FM_GF_5_9999,2.3292109966278076,AC_FAGE_14,1.1315945386886597
129,E_FM_M_3_9999,2.396979570388794,AS_DG_YR_0,1.1463812589645386
130,E_LT_SF_2,2.4269063472747803,HW_SPRM_S_1,1.1493897438049316
131,TC_GHW_QT_4,2.5058531761169434,F_CS_F03_9999,1.1500041484832764
132,E_LT_F_9999,2.514819622039795,O_EDU_2,1.166260004043579
133,WC_MN_M09_0,2.5196754932403564,TC_SND_H_5,1.1792670488357544
134,E_KRN_F_2,2.533646821975708,PA_TRA_MM_3,1.1977871656417847
135,E_LT_F_1,2.563297748565674,F_CS_F06_6,1.1981451511383057
136,E_BORN_M_3,2.5745763778686523,AC_FAGE_1,1.2080641984939575
137,E_KRN_M_2,2.644244432449341,AC_DAYS_0,1.2084399461746216
138,E_LT_M_9999,2.644270658493042,HW_SPRM_S_3,1.2131685018539429
139,E_EDU_F_9999,2.670369863510132,F_CS_F04_9999,1.2136335372924805
140,E_BORN_M_8,2.704333782196045,AC_FAGE_6,1.213973045349121
141,E_BORN_F_2,2.7489819526672363,O_SYMP1_1,1.2222236394882202
142,E_LT_SM_2,2.77461838722229,F_CS_F02_2,1.223915934562683
143,E_BORN_F_6,2.8236169815063477,I_SB_BK_2,1.232946753501892
144,E_KRN_F_9999,2.913740873336792,F_CS_F09_9,1.240317940711975
145,E_EDU_M_9999,2.9553139209747314,S_EDU_1,1.24241304397583
146,E_EDU_F_2,3.0350372791290283,M_STR_5,1.243080735206604
147,WC_MN_M10_0,3.0528249740600586,F_CS_F11_11,1.244812250137329
148,E_EDU_F_4,3.1113295555114746,F_CS_F05_5,1.2467705011367798
149,E_BORN_M_4,3.1149497032165527,F_CS_F08_8,1.250153660774231
150,E_BORN_M_2,3.1883533000946045,HW_SPRM_H_2,1.2508457899093628
151,E_KRN_M_9999,3.213073968887329,O_SYMP5_1,1.251373529434204
152,E_LT_SM_9999,3.271639108657837,PA_TRA_3,1.2579174041748047
153,E_BORN_F_1,3.3707315921783447,PA_TRA_7,1.2636233568191528
154,E_BORN_M_13,3.39837908744812,F_CS_2,1.2639025449752808
155,E_EDU_F_3,3.7247440814971924,PA_TRA_5,1.2660776376724243
156,E_EDU_M_4,3.8945295810699463,HW_SPML_H_1,1.269700050354004
157,TC_DAGE_1,4.163773536682129,O_SYMP1_1_1,1.2734626531600952
158,E_EDU_M_2,4.2154765129089355,PA_SWK_N_11,1.2779934406280518
159,E_KRN_F_1,4.320137977600098,O_BR_FQ_8,1.2786798477172852
160,E_EDU_M_3,5.318130970001221,PA_TRA_2,1.279299259185791
161,,,I_SCH_ED3_9999,1.279420018196106
162,,,TC_SND_H_6,1.2879313230514526
163,,,PA_TRA_4,1.2881956100463867
164,,,PA_ST_4,1.2893627882003784
165,,,AC_ACCESS_2,1.2911252975463867
166,,,I_SCH_ED5_9999,1.2915691137313843
167,,,PA_ST_5,1.2976547479629517
168,,,ECZ_DG_LT_1,1.3036706447601318
169,,,TC_SND_P_5,1.3043797016143799
170,,,F_CS_F03_3,1.3060057163238525
171,,,AC_FAGE_11,1.3106584548950195
172,,,V_TRT_2,1.316584825515747
173,,,F_CS_F01_1,1.3178331851959229
174,,,I_SCH_ED4_9999,1.3199151754379272
175,,,TC_SND_S_2,1.3354507684707642
176,,,F_CS_3,1.3447613716125488
177,,,AC_FAGE_10,1.3475043773651123
178,,,AC_FAGE_9,1.3528993129730225
179,,,TC_SND_S_4,1.3562865257263184
180,,,F_SODA_6,1.3584506511688232
181,,,F_CS_4,1.3617055416107178
182,,,F_CS_F10_10,1.3713289499282837
183,,,TC_SND_S_3,1.3734570741653442
184,,,TC_GHW_2,1.375993013381958
185,,,HW_S_R_6,1.3803155422210693
186,,,HW_S_R_10,1.389212965965271
187,,,I_SB_FR_5,1.3900195360183716
188,,,PA_SWD_N_6,1.407157301902771
189,,,PA_TRA_6,1.4107998609542847
190,,,O_SYMP1_1_2,1.418870449066162
191,,,I_SB_BK_1,1.4223213195800781
192,,,F_CS_6,1.4242403507232666
193,,,PA_TRA_1,1.4243656396865845
194,,,HW_SPRM_H_3,1.4246246814727783
195,,,HW_SPML_S_2,1.4293062686920166
196,,,TC_ACCESS_2,1.4351980686187744
197,,,PA_SWK_N_7,1.438341736793518
198,,,PA_WLK_MM_3,1.4444208145141602
199,,,F_FASTFOOD_6,1.4517500400543213
200,,,F_CS_5,1.4530093669891357
201,,,TC_SND_S_5,1.4567124843597412
202,,,HW_SPML_S_3,1.4580504894256592
203,,,ECZ_DG_YR_1,1.4581631422042847
204,,,PA_WLK_5,1.4612374305725098
205,,,I_SCH_ED5_5,1.4612396955490112
206,,,HW_S_R_4,1.461690902709961
207,,,PA_WLK_7,1.46829092502594
208,,,GRADE_3,1.4695522785186768
209,,,TC_SND_P_7,1.4705028533935547
210,,,I_SCH_ED4_4,1.4747200012207031
211,,,F_WAT_1,1.4822578430175781
212,,,S_CONT_4,1.48379385471344
213,,,PA_WLK_4,1.4908255338668823
214,,,HW_SPML_S_4,1.4948835372924805
215,,,INT_WK_2,1.4957305192947388
216,,,F_CS_F04_4,1.4968585968017578
217,,,O_BR_FQ_9,1.4984031915664673
218,,,PR_OH_5,1.5031574964523315
219,,,GRADE_2,1.5045026540756226
220,,,PA_WLK_3,1.509247064590454
221,,,AC_DAYS_5,1.512939453125
222,,,S_SI_2,1.5145426988601685
223,,,PA_SWD_S_6,1.5176602602005005
224,,,PA_SWD_S_5,1.529312014579773
225,,,PA_SWK_S_7,1.5299102067947388
226,,,PA_SWK_S_6,1.534256100654602
227,,,PA_SWK_S_5,1.5365029573440552
228,,,PA_SWK_S_4,1.5391299724578857
229,,,PA_SWK_S_9,1.5428439378738403
230,,,PA_SWD_S_3,1.5454058647155762
231,,,HW_SPGO_H_2,1.5478062629699707
232,,,PA_SWD_S_11,1.5502138137817383
233,,,PA_TRA_8,1.5507235527038574
234,,,PA_WLK_2,1.5577472448349
235,,,PA_ST_3,1.5637438297271729
236,,,PA_SWD_S_4,1.5638772249221802
237,,,F_CS_F07_9999,1.564846396446228
238,,,PA_WLK_MM_2,1.5661159753799438
239,,,AGE_14,1.5669586658477783
240,,,TC_SND_P_8,1.5670697689056396
241,,,PA_SWD_S_9,1.5673727989196777
242,,,TC_FAGE_6,1.5676207542419434
243,,,PA_SWD_S_13,1.5680744647979736
244,,,F_SWDRINK_6,1.5737082958221436
245,,,TC_DAYS_1,1.577702283859253
246,,,F_CAFFEINE_4,1.5788111686706543
247,,,PA_SWK_S_8,1.5803614854812622
248,,,PA_SWD_S_7,1.5846225023269653
249,,,PA_SWK_N_5,1.5916392803192139
250,,,TC_FAGE_11,1.597436547279358
251,,,PA_SWD_S_8,1.5982264280319214
252,,,PA_SWD_S_12,1.59923255443573
253,,,PA_WLK_MM_4,1.6002999544143677
254,,,E_BORN_M_7,1.6022496223449707
255,,,F_FASTFOOD_5,1.6046762466430664
256,,,WC_MN_3,1.6082323789596558
257,,,TC_FAGE_8,1.6101195812225342
258,,,AC_ACCESS_3,1.6101584434509277
259,,,PA_SWD_S_10,1.6116479635238647
260,,,WC_MN_1,1.615393042564392
261,,,PA_SWK_S_3,1.6155821084976196
262,,,PA_SWD_S_2,1.6166646480560303
263,,,HW_SPGO_H_3,1.6193652153015137
264,,,TC_SND_S_7,1.6228512525558472
265,,,TC_FAGE_7,1.6247930526733398
266,,,RH_DG_YR_1,1.625223159790039
267,,,PA_SWK_N_4,1.628951072692871
268,,,F_CS_F12_9999,1.6294721364974976
269,,,PA_WLK_6,1.629671573638916
270,,,AC_DAYS_6,1.6300086975097656
271,,,PA_PE_FQ_3,1.63164222240448
272,,,I_SCH_ED1_1,1.6316992044448853
273,,,PA_SWK_S_2,1.637445330619812
274,,,ECZ_DG_LT_2,1.6407499313354492
275,,,AGE_15,1.6438716650009155
276,,,TC_GHW_1,1.646456241607666
277,,,PA_SWK_N_3,1.6477872133255005
278,,,PA_TOT_7,1.6504926681518555
279,,,PA_MSC_5,1.6518491506576538
280,,,PA_ST_2,1.6545644998550415
281,,,PA_SWD_S_1,1.656243920326233
282,,,PA_SWD_N_5,1.6599007844924927
283,,,HW_SPML_H_4,1.6609548330307007
284,,,HW_SPGO_H_1,1.6688343286514282
