,Variables,Cosine Difference Mean
147,WC_MN_M02,0.18143360813458762
155,WC_MN_M10,0.17852488160133362
150,WC_MN_M05,0.1757990370194117
153,WC_MN_M08,0.1756142775217692
152,WC_MN_M07,0.17458789547284445
149,WC_MN_M04,0.16713894406954447
151,WC_MN_M06,0.16588018337885538
145,WC_MN,0.15745537640417323
148,WC_MN_M03,0.14477789402008057
154,WC_MN_M09,0.1326854427655538
146,WC_MN_M01,0.12584726015726724
82,M_STR,0.1178484320640564
84,M_SUI_CON,0.10896974802017212
42,F_CS_F04,0.10630297660827637
83,M_SUI_ATT,0.1004989743232727
85,M_SUI_PLN,0.0999758243560791
60,HW_EDU,0.09762182831764221
95,O_OCP5,0.0963466465473175
138,TC_HTP_MN,0.09587657637894154
100,O_SYMP2,0.09444749355316162
81,M_SLP_EN,0.09245247840881347
5,AC_LT,0.08875644207000732
77,I_SCH_ED4,0.0875283032655716
96,O_SCL,0.08733952045440674
75,I_SCH_ED2,0.08580824732780457
80,M_SAD,0.085700124502182
78,I_SCH_ED5,0.0815373957157135
7,AS_DG_LT,0.079226553440094
99,O_SYMP1_1,0.07822304964065552
97,O_SLNT,0.07549536228179932
89,O_DC_FQ,0.07517861127853394
92,O_OCP2,0.07479491829872131
98,O_SYMP1,0.07285264730453492
123,S_CONT_M,0.07105830524648939
107,PA_ST,0.07044732570648193
94,O_OCP4,0.07012337446212769
132,TC_EC_MN,0.07003555074334145
8,AS_DG_YR,0.06893322865168254
49,F_CS_F11,0.06881126761436462
128,TC_AMNT,0.0687025146824973
122,S_CONT,0.06850580746928851
46,F_CS_F08,0.06734663248062134
129,TC_DAGE,0.06646336615085602
86,O_BR_FQ,0.06549139320850372
65,HW_SPRM_S,0.06456077843904495
44,F_CS_F06,0.06449764966964722
91,O_OCP1,0.06407079100608826
87,O_BR_S,0.06215411424636841
66,HW_S_R,0.06210794150829315
104,O_SYMP6,0.059748053550720215
118,PR_HT,0.059265917539596556
3,AC_DRUNK,0.05875463485717773
2,AC_DAYS,0.058635421097278595
113,PA_TRA,0.05826017757256826
102,O_SYMP4,0.05756828188896179
40,F_CS_F02,0.05708026885986328
48,F_CS_F10,0.05640190839767456
126,SleepAvg_WK,0.05428380554630643
88,O_BR_SLP,0.05420603354771932
114,PA_TRA_MM,0.05394463241100311
90,O_EDU,0.05253028869628906
38,F_CS,0.05249755036446356
72,I_SB_EX,0.05241268873214722
45,F_CS_F07,0.05211727321147919
43,F_CS_F05,0.05136770009994507
70,INT_WK_MM,0.051315115256742996
62,HW_SPML_H,0.05129241198301315
142,TC_SND_P,0.05119028314948082
61,HW_SPGO_H,0.05068081617355347
32,E_LT_SM,0.05046877637505531
22,E_FM_NO_9,0.050186956922213234
6,AGE,0.04973462254417186
33,E_RES,0.04931625723838806
1,AC_AMNT,0.04833806057771047
50,F_CS_F12,0.04827846586704254
41,F_CS_F03,0.04819256067276001
53,F_FRUIT,0.04791398559297834
144,V_TRT,0.047736864004816325
120,RH_DG_LT,0.04735451936721802
124,S_EDU,0.0467163622379303
52,F_FASTFOOD,0.04670083522796631
