,Variables,ED
0,E_BORN_M,14.978684425354004
1,E_KRN_M,11.279129028320312
2,E_EDU_M,9.683124542236328
3,SleepAvg_WK,9.51436710357666
4,E_BORN_F,7.76608943939209
5,E_KRN_F,7.311072826385498
6,E_EDU_F,6.0304670333862305
7,E_LT_SM,5.560545444488525
8,WC_MN_M10,4.8255791664123535
9,E_LT_M,4.655826091766357
10,TC_DAGE,4.529421329498291
11,E_LT_F,4.352269649505615
12,E_LT_SF,4.320773124694824
13,WC_MN_M09,3.9640281200408936
14,E_FM_NO_9,3.874163866043091
15,E_FM_YBS_8,3.7791011333465576
16,INT_WK_MM,3.647958517074585
17,E_FM_GM_6,3.5700836181640625
18,E_FM_OBS_7,3.5058817863464355
19,E_FM_M_3,3.4747488498687744
20,WC_MN_M08,3.4536848068237305
21,WC_MN_M07,3.2481257915496826
22,TC_GHW_QT,3.2380199432373047
23,E_FM_GF_5,3.2215282917022705
24,E_FM_SM_4,3.2069125175476074
25,E_FM_F_1,3.1576762199401855
26,E_FM_SF_2,3.1523702144622803
27,WC_MN_M06,3.1511154174804688
28,A_FM,3.106076240539551
29,WC_MN_M05,2.9844560623168945
30,AC_DRUNK,2.9213764667510986
31,WC_MN_M04,2.842592716217041
32,WC_MN_M03,2.65933895111084
33,TC_GHW_H,2.655514717102051
34,WC_MN_M02,2.6213762760162354
35,AC_DAYS,2.5034217834472656
36,WC_MN_M01,2.4718613624572754
37,WC_MN,2.4468979835510254
38,INT_WD_MM,2.438783884048462
39,PR_HT,2.403709888458252
40,E_SES,2.184785842895508
41,AS_DG_YR,2.122131109237671
42,F_SODA,2.099458694458008
43,AGE,2.095154047012329
44,AC_FAGE,2.0351901054382324
45,TC_AMNT,2.0238137245178223
46,TC_DAYS,1.988423228263855
47,F_CAFFEINE,1.976385474205017
48,TC_LT,1.9144572019577026
49,PA_TOT,1.8008331060409546
50,O_BR_FQ,1.7986643314361572
51,AC_LT,1.7881120443344116
52,AC_AMNT,1.7108204364776611
53,TC_SND_S,1.6719480752944946
54,PA_SWK_S,1.6540597677230835
55,I_SB_BK,1.6178041696548462
56,AS_DG_LT,1.5727406740188599
57,PA_SWK_N,1.559543251991272
58,M_STR,1.5374209880828857
59,RH_DG_LT,1.518288493156433
60,M_SUI_ATT,1.5018686056137085
61,F_FRUIT,1.480652928352356
62,O_BR_SLP,1.4486356973648071
63,E_S_RCRD,1.4261186122894287
64,TC_SND_P,1.415352702140808
65,TC_SND_H,1.3891433477401733
66,PA_SWD_S,1.372538685798645
67,PA_ST,1.3621798753738403
68,M_SLP_EN,1.3544951677322388
69,PA_SWD_N,1.3181952238082886
70,M_SUI_PLN,1.2842066287994385
71,PA_PE_FQ,1.2412762641906738
72,O_DC_FQ,1.2343671321868896
73,M_SUI_CON,1.1496555805206299
74,F_MILK,1.1355464458465576
75,I_SB_EX,1.0067452192306519
76,O_SYMP6,0.9379295110702515
77,M_SAD,0.9085074067115784
78,F_BR,0.8520896434783936
